Sample(20Hz),X_Pos,Y_Pos,Z_Pos,Roll,Pitch,Yaw
441,-0.3394,-0.3289,0.2448,1.7987,0.905,1.199
442,-0.3393,-0.329,0.2449,1.7983,0.9052,1.199
443,-0.3393,-0.329,0.2449,1.7981,0.9053,1.199
444,-0.3393,-0.3291,0.2449,1.7981,0.9054,1.199
445,-0.3393,-0.3291,0.2449,1.798,0.9054,1.199
446,-0.3393,-0.3291,0.2449,1.798,0.9054,1.199
447,-0.3393,-0.3291,0.2449,1.798,0.9054,1.199
448,-0.3393,-0.3291,0.2449,1.798,0.9054,1.199
449,-0.3393,-0.3294,0.2452,1.7977,0.9055,1.1991
450,-0.3393,-0.3299,0.2456,1.797,0.9058,1.1991
451,-0.3392,-0.3305,0.246,1.7962,0.906,1.1992
452,-0.339,-0.3313,0.2464,1.7955,0.9062,1.1993
453,-0.3388,-0.332,0.2468,1.7948,0.9064,1.1994
454,-0.3386,-0.3329,0.2472,1.7941,0.9065,1.1995
455,-0.3383,-0.3339,0.2476,1.7936,0.9066,1.1997
456,-0.3379,-0.3349,0.248,1.793,0.9067,1.1998
457,-0.3375,-0.3359,0.2484,1.7926,0.9067,1.1999
458,-0.3373,-0.3365,0.2486,1.7922,0.9067,1.2
459,-0.3372,-0.3367,0.2487,1.792,0.9068,1.2
460,-0.3372,-0.3368,0.2487,1.7919,0.9068,1.2
461,-0.3372,-0.3369,0.2487,1.7919,0.9068,1.2
462,-0.3372,-0.3369,0.2488,1.7919,0.9068,1.2
463,-0.3372,-0.3369,0.2488,1.7918,0.9068,1.2
464,-0.3369,-0.3376,0.2489,1.7918,0.9068,1.2001
465,-0.3365,-0.3385,0.2492,1.7917,0.9067,1.2002
466,-0.336,-0.3396,0.2495,1.7915,0.9067,1.2003
467,-0.3355,-0.3406,0.2497,1.7912,0.9066,1.2004
468,-0.3346,-0.3421,0.2499,1.7912,0.9065,1.2005
469,-0.3337,-0.3436,0.2501,1.7912,0.9064,1.2006
470,-0.3325,-0.3451,0.2502,1.7914,0.9062,1.2006
471,-0.3314,-0.3466,0.2502,1.7927,0.9053,1.2007
472,-0.3301,-0.3483,0.2502,1.7967,0.9028,1.2009
473,-0.3287,-0.3498,0.2502,1.8034,0.8986,1.201
474,-0.3273,-0.3513,0.2501,1.8111,0.8938,1.2012
475,-0.3257,-0.3528,0.2501,1.8193,0.8887,1.2012
476,-0.3249,-0.3536,0.25,1.8261,0.8843,1.2012
477,-0.3245,-0.354,0.25,1.8294,0.8822,1.2011
478,-0.3243,-0.3542,0.25,1.831,0.8812,1.201
479,-0.3242,-0.3542,0.25,1.8317,0.8807,1.2009
480,-0.3242,-0.3543,0.2499,1.8321,0.8805,1.2009
481,-0.3242,-0.3543,0.2499,1.8323,0.8803,1.2009
482,-0.3242,-0.3543,0.2499,1.8323,0.8803,1.2009
483,-0.3242,-0.3543,0.2499,1.8324,0.8803,1.2009
484,-0.3242,-0.3543,0.2499,1.8324,0.8802,1.2009
485,-0.3242,-0.3543,0.2499,1.8324,0.8802,1.2009
486,-0.3242,-0.3543,0.2499,1.8324,0.8802,1.2009
487,-0.3242,-0.3543,0.2499,1.8324,0.8802,1.2009
488,-0.3242,-0.3543,0.2499,1.8324,0.8802,1.2009
489,-0.3242,-0.3543,0.2499,1.8324,0.8802,1.2009
490,-0.3242,-0.3543,0.2499,1.8324,0.8802,1.2009
491,-0.3242,-0.3543,0.2499,1.8324,0.8802,1.2009
492,-0.3242,-0.3543,0.2499,1.8324,0.8802,1.2009
493,-0.3242,-0.3543,0.2499,1.8324,0.8802,1.2009
494,-0.3242,-0.3543,0.2499,1.8324,0.8802,1.2009
495,-0.3242,-0.3543,0.2499,1.8324,0.8802,1.2009
496,-0.3242,-0.3543,0.2499,1.8324,0.8802,1.2009
497,-0.3242,-0.3543,0.2499,1.8324,0.8802,1.2009
498,-0.3242,-0.3543,0.2499,1.8324,0.8802,1.2009
499,-0.3242,-0.3543,0.2499,1.8324,0.8802,1.2009
500,-0.3242,-0.3543,0.2499,1.8324,0.8802,1.2009
501,-0.3242,-0.3543,0.2499,1.8324,0.8802,1.2009
502,-0.3242,-0.3543,0.2499,1.8324,0.8802,1.2009
503,-0.3242,-0.3543,0.2499,1.8324,0.8802,1.2009
504,-0.3242,-0.3543,0.2499,1.8324,0.8802,1.2009
505,-0.3242,-0.3543,0.2499,1.8324,0.8802,1.2009
506,-0.3242,-0.3543,0.2499,1.8324,0.8802,1.2009
507,-0.3242,-0.3543,0.2499,1.8324,0.8802,1.2009
508,-0.3242,-0.3543,0.2499,1.8324,0.8802,1.2009
509,-0.3242,-0.3543,0.2499,1.8324,0.8802,1.2009
510,-0.3242,-0.3543,0.2499,1.8324,0.8802,1.2009
511,-0.3242,-0.3543,0.2499,1.8324,0.8802,1.2009
512,-0.3242,-0.3543,0.2499,1.8324,0.8802,1.2009
513,-0.3242,-0.3543,0.2499,1.8324,0.8802,1.2009
514,-0.3242,-0.3543,0.2499,1.8324,0.8802,1.2009
515,-0.3242,-0.3543,0.2499,1.8324,0.8802,1.2009
