Sample(20Hz),X_Pos,Y_Pos,Z_Pos,Roll,Pitch,Yaw
316,-0.3849,-0.2778,0.2209,2.1978,0.6636,1.728
317,-0.3866,-0.2784,0.221,2.2013,0.6614,1.7258
318,-0.3878,-0.2788,0.2211,2.2041,0.6596,1.7238
319,-0.3883,-0.2789,0.2211,2.2055,0.6588,1.7229
320,-0.3885,-0.279,0.2212,2.2062,0.6584,1.7225
321,-0.387,-0.2797,0.2206,2.2051,0.6591,1.7234
322,-0.3846,-0.2806,0.2197,2.2008,0.6622,1.7265
323,-0.3812,-0.2819,0.2185,2.1949,0.6665,1.7306
324,-0.3778,-0.2832,0.2172,2.1868,0.6714,1.7354
325,-0.3742,-0.2845,0.2159,2.1806,0.6763,1.7402
326,-0.3707,-0.2857,0.2147,2.1738,0.6813,1.7452
327,-0.3667,-0.287,0.2133,2.1667,0.6865,1.7503
328,-0.3633,-0.288,0.2121,2.159,0.692,1.7558
329,-0.3601,-0.289,0.211,2.152,0.697,1.7608
330,-0.3565,-0.2901,0.2097,2.1449,0.7021,1.7659
331,-0.3524,-0.2912,0.2083,2.1377,0.7073,1.7711
332,-0.3484,-0.2923,0.2069,2.1305,0.7125,1.7764
333,-0.3466,-0.2927,0.2063,2.124,0.7171,1.781
334,-0.3458,-0.2929,0.2061,2.1214,0.7189,1.7828
335,-0.3454,-0.293,0.2059,2.1203,0.7197,1.7836
336,-0.346,-0.2935,0.2059,2.1203,0.7198,1.7837
337,-0.3472,-0.2942,0.2059,2.1221,0.7187,1.7826
338,-0.3485,-0.2948,0.206,2.1245,0.7172,1.781
339,-0.3502,-0.2957,0.2061,2.1274,0.7155,1.7791
340,-0.3519,-0.2965,0.2062,2.1304,0.7136,1.7771
341,-0.3536,-0.2973,0.2063,2.1336,0.7117,1.775
342,-0.3553,-0.2981,0.2064,2.1368,0.7098,1.7729
