Sample(20Hz),X_Pos,Y_Pos,Z_Pos,Roll,Pitch,Yaw
215,-0.4877,-0.0664,0.2477,3.0629,0.9484,1.1989
216,-0.4895,-0.0659,0.2478,3.0629,0.9547,1.1991
217,-0.4912,-0.0655,0.2479,3.0629,0.9604,1.199
218,-0.4929,-0.0651,0.248,3.063,0.9661,1.1989
219,-0.4947,-0.0646,0.248,3.063,0.972,1.1989
220,-0.4974,-0.0634,0.2475,3.063,0.9782,1.199
221,-0.499,-0.0629,0.2476,3.063,0.985,1.1992
222,-0.5007,-0.0625,0.2477,3.063,0.9905,1.1991
223,-0.5024,-0.0621,0.2478,3.0631,0.9961,1.199
224,-0.5041,-0.0617,0.2479,3.0631,1.0019,1.199
225,-0.5065,-0.0606,0.2475,3.0631,1.0081,1.199
226,-0.5082,-0.0601,0.2476,3.0631,1.0145,1.1992
227,-0.5097,-0.0598,0.2477,3.0631,1.0201,1.1991
228,-0.5119,-0.0589,0.2474,3.0631,1.0258,1.1991
229,-0.5137,-0.0584,0.2476,3.0632,1.0317,1.1992
230,-0.516,-0.0574,0.2473,3.0632,1.038,1.1992
231,-0.5177,-0.057,0.2475,3.0632,1.0445,1.1993
232,-0.5194,-0.0566,0.2477,3.0632,1.0502,1.1992
233,-0.5217,-0.0556,0.2474,3.0632,1.0563,1.1992
234,-0.5234,-0.0552,0.2476,3.0632,1.0626,1.1993
235,-0.5248,-0.0548,0.2477,3.0632,1.0683,1.1992
236,-0.5272,-0.0538,0.2474,3.0632,1.074,1.1992
237,-0.5289,-0.0534,0.2476,3.0633,1.0805,1.1993
238,-0.5311,-0.0524,0.2473,3.0633,1.0866,1.1993
239,-0.5328,-0.052,0.2475,3.0633,1.0929,1.1994
240,-0.5342,-0.0516,0.2477,3.0633,1.0986,1.1992
241,-0.5366,-0.0506,0.2474,3.0633,1.1042,1.1992
242,-0.5382,-0.0502,0.2476,3.0633,1.1108,1.1994
243,-0.5405,-0.0493,0.2474,3.0633,1.1169,1.1993
244,-0.5421,-0.0488,0.2476,3.0633,1.1232,1.1994
245,-0.5443,-0.0479,0.2474,3.0633,1.1291,1.1994
246,-0.5459,-0.0475,0.2476,3.0633,1.1354,1.1995
247,-0.5474,-0.0471,0.2478,3.0633,1.141,1.1993
248,-0.5497,-0.0461,0.2475,3.0634,1.1472,1.1993
249,-0.5509,-0.0456,0.2473,3.0634,1.1526,1.1996
250,-0.5515,-0.0453,0.2472,3.0635,1.1552,1.1997
251,-0.5518,-0.0452,0.2472,3.0635,1.1564,1.1998
252,-0.5522,-0.045,0.2469,3.0635,1.1563,1.2
253,-0.5525,-0.0452,0.2465,3.0634,1.154,1.2004
254,-0.5527,-0.0456,0.2463,3.0632,1.1506,1.2009
255,-0.5529,-0.0464,0.2461,3.0631,1.1464,1.2013
256,-0.553,-0.0472,0.2461,3.0629,1.1419,1.2016
257,-0.5531,-0.0483,0.246,3.0627,1.1375,1.2018
258,-0.5532,-0.0496,0.246,3.0624,1.1328,1.2019
259,-0.5533,-0.0511,0.246,3.0622,1.1275,1.202
260,-0.5534,-0.0526,0.2461,3.062,1.1222,1.2021
261,-0.5534,-0.0542,0.2462,3.0618,1.1169,1.2021
262,-0.5534,-0.0559,0.2463,3.0616,1.1117,1.2021
263,-0.5534,-0.0576,0.2463,3.0614,1.1064,1.2021
264,-0.5534,-0.0594,0.2464,3.0613,1.1011,1.2021
265,-0.5533,-0.0612,0.2465,3.0611,1.0958,1.202
266,-0.5533,-0.0631,0.2465,3.061,1.0905,1.202
267,-0.5533,-0.0661,0.247,3.0608,1.0848,1.2017
268,-0.5532,-0.0679,0.247,3.0607,1.079,1.2014
269,-0.553,-0.0696,0.2469,3.0607,1.0739,1.2015
270,-0.5527,-0.0715,0.2468,3.0607,1.0687,1.2016
271,-0.5525,-0.0732,0.2468,3.0606,1.063,1.2017
272,-0.5523,-0.075,0.2468,3.0606,1.0579,1.2017
273,-0.5522,-0.078,0.2472,3.0605,1.0523,1.2015
274,-0.5519,-0.0798,0.2471,3.0605,1.0465,1.2012
275,-0.5515,-0.0817,0.2469,3.0605,1.0414,1.2014
276,-0.5514,-0.0825,0.2469,3.0605,1.0368,1.2015
277,-0.5513,-0.0828,0.2469,3.0606,1.0349,1.2016
278,-0.5513,-0.083,0.2468,3.0606,1.0342,1.2016
279,-0.5513,-0.0831,0.2468,3.0606,1.0337,1.2016
280,-0.5513,-0.0832,0.2468,3.0606,1.0335,1.2016
281,-0.5513,-0.0832,0.2468,3.0606,1.0334,1.2016
282,-0.5517,-0.0842,0.2474,3.0606,1.034,1.2013
283,-0.5527,-0.0854,0.2481,3.0606,1.0363,1.2006
284,-0.5538,-0.0862,0.2486,3.0606,1.04,1.2001
285,-0.5551,-0.0868,0.249,3.0608,1.0446,1.1996
286,-0.5565,-0.0872,0.2492,3.061,1.0497,1.1993
287,-0.5579,-0.0875,0.2493,3.0612,1.055,1.1991
288,-0.5594,-0.0876,0.2493,3.0614,1.0605,1.1989
289,-0.5609,-0.0876,0.2493,3.0616,1.0661,1.1988
290,-0.5625,-0.0876,0.2493,3.0618,1.0717,1.1988
291,-0.5641,-0.0875,0.2492,3.062,1.0774,1.1988
292,-0.5657,-0.0873,0.2491,3.0621,1.0832,1.1987
293,-0.5676,-0.0871,0.249,3.0623,1.0889,1.1987
294,-0.5692,-0.0868,0.2489,3.0625,1.0951,1.1988
295,-0.5708,-0.0865,0.2488,3.0627,1.1007,1.1988
